,Time,Target,Number of Features,ROC AUC,Average Precision,Brier Score Loss
0,2019-03-31-2310,readmitted3d,10,0.6365160154355225,0.02844573291682424,0.015951489974829786
0,2019-03-31-2335,length_of_stay_over_3_days,10,0.8316440913692009,0.8585777154328625,0.16293762489585645
0,2019-03-31-2359,length_of_stay_over_5_days,10,0.8346143963102297,0.7013375279571198,0.15195697763477892
0,2019-04-01-0023,length_of_stay_over_7_days,10,0.8358637057003159,0.5614542215876136,0.11896282042446174
0,2019-04-01-0105,financialclass_binary,10,0.9217187072959253,0.9613464828909145,0.09796033687445091
0,2019-04-01-0244,readmitted30d,20,0.7612826112012878,0.368475915443095,0.10331505308958729
0,2019-04-01-0304,readmitted5d,20,0.6819131074955537,0.07221060819267468,0.030043448743848056
0,2019-04-01-0324,readmitted7d,20,0.6974186692199756,0.11288511646589702,0.04235557388962936
0,2019-04-01-0345,readmitted3d,20,0.6473050926367157,0.033130083452099245,0.015918154862252246
0,2019-04-01-0410,length_of_stay_over_3_days,20,0.8368680907066248,0.8631040094597183,0.16090372094746977
0,2019-04-01-0438,length_of_stay_over_5_days,20,0.8435812370383076,0.7147894452476493,0.14791104419254636
0,2019-04-01-0504,length_of_stay_over_7_days,20,0.8346970904184967,0.5598873352733239,0.11883677373117299
0,2019-04-01-0532,financialclass_binary,20,0.9193478034136232,0.9594959892428507,0.09908369741370684
0,2019-04-01-0558,readmitted30d,30,0.7624444181080918,0.36953048387524834,0.10314287557824547
0,2019-04-01-0615,readmitted5d,30,0.6796848354372174,0.07205674087077168,0.03004088074251096
0,2019-04-01-0636,readmitted7d,30,0.6969547617519039,0.11216144785942067,0.04235509497961011
0,2019-04-01-0657,readmitted3d,30,0.650335334129343,0.0330671247132097,0.015922553935320306
0,2019-04-04-1634,length_of_stay_over_5_days,170,0.9406029549019961,0.8602152101945976,0.08878106510959491
0,2019-04-04-1646,length_of_stay_over_5_days,170,0.9406029549019961,0.8602152101945976,0.08878106510959491
0,2019-04-04-1743,age_gt_65_y,282,0.942818886870891,0.9214461531209893,0.09435971064954105
0,2019-04-05-1004,age_gt_65_y,282,0.5230440377179542,0.4224337052624869,0.36013891025044686
0,2019-04-05-1023,age_gt_65_y,282,0.5230440377179542,0.4224337052624869,0.36013891025044686
0,2019-04-05-1103,age_gt_65_y,282,0.5230440377179542,0.4224337052624869,0.36013891025044686
0,2019-04-05-1711,readmitted30d,280,0.7633444746387256,0.371181630174401,0.10298030864611726
0,2019-04-05-1733,readmitted5d,280,0.6816054028262805,0.07270034866493787,0.03005496975027779
0,2019-04-05-1759,readmitted7d,280,0.6985507188051054,0.11384448847874822,0.042338185664698574
0,2019-04-05-1825,readmitted3d,280,0.6503364377470418,0.032959372213971314,0.015919336074787415
0,2019-04-05-1901,length_of_stay_over_3_days,170,0.8480991581252503,0.8740271581420463,0.15550347477640103
