,index,time_from_admission_to_death_socialsecurity
664,78 days 22:55:00.000000000,1
665,141 days 23:16:00.000000000,1
666,30 days 13:30:00.000000000,1
667,5 days 05:55:00.000000000,1
668,28 days 06:14:00.000000000,1
669,7 days 02:22:00.000000000,1
670,40 days 09:01:00.000000000,1
671,32 days 22:09:00.000000000,1
672,131 days 04:13:00.000000000,1
673,2 days 05:22:00.000000000,1
674,7 days 18:25:00.000000000,1
675,6 days 00:00:00.000000000,1
676,8 days 15:33:00.000000000,1
677,32 days 11:50:00.000000000,1
678,75 days 07:00:00.000000000,1
679,44 days 06:42:00.000000000,1
680,9 days 01:08:00.000000000,1
681,92 days 06:04:00.000000000,1
682,41 days 23:00:00.000000000,1
683,11 days 21:59:00.000000000,1
684,10 days 00:53:00.000000000,1
685,119 days 10:34:00.000000000,1
686,0 days 10:18:00.000000000,1
687,117 days 03:14:00.000000000,1
688,12 days 06:55:00.000000000,1
689,109 days 08:57:00.000000000,1
690,107 days 03:56:00.000000000,1
691,12 days 23:59:00.000000000,1
692,105 days 07:38:00.000000000,1
693,15 days 00:38:00.000000000,1
694,72 days 08:42:00.000000000,1
695,41 days 09:12:00.000000000,1
696,118 days 04:43:00.000000000,1
697,56 days 06:38:00.000000000,1
698,73 days 22:41:00.000000000,1
699,73 days 08:40:00.000000000,1
700,22 days 09:33:00.000000000,1
701,14 days 03:17:00.000000000,1
702,136 days 03:54:00.000000000,1
703,2 days 04:08:00.000000000,1
704,70 days 08:20:00.000000000,1
705,99 days 15:38:00.000000000,1
706,129 days 09:30:00.000000000,1
707,26 days 00:33:00.000000000,1
708,7 days 06:52:00.000000000,1
709,182 days 10:00:00.000000000,1
710,1 days 05:46:00.000000000,1
711,8 days 04:00:00.000000000,1
712,52 days 03:52:00.000000000,1
713,22 days 02:04:00.000000000,1
714,34 days 02:37:00.000000000,1
715,183 days 08:58:00.000000000,1
716,42 days 07:56:00.000000000,1
717,39 days 18:34:00.000000000,1
718,3 days 05:07:00.000000000,1
719,111 days 01:07:00.000000000,1
720,29 days 23:50:00.000000000,1
721,8 days 02:55:00.000000000,1
722,10 days 23:59:00.000000000,1
723,54 days 06:51:00.000000000,1
724,15 days 14:00:00.000000000,1
725,32 days 05:18:00.000000000,1
726,34 days 06:41:00.000000000,1
727,92 days 11:57:00.000000000,1
728,105 days 05:23:00.000000000,1
729,151 days 11:18:00.000000000,1
730,242 days 06:30:00.000000000,1
731,43 days 08:55:00.000000000,1
732,23 days 20:07:00.000000000,1
733,63 days 05:14:00.000000000,1
734,13 days 23:00:00.000000000,1
735,89 days 01:01:00.000000000,1
736,22 days 07:57:00.000000000,1
737,15 days 01:13:00.000000000,1
738,0 days 11:54:00.000000000,1
739,142 days 05:22:00.000000000,1
740,91 days 02:24:00.000000000,1
741,26 days 08:42:00.000000000,1
742,21 days 19:58:00.000000000,1
743,84 days 05:24:00.000000000,1
744,109 days 23:59:00.000000000,1
745,39 days 07:14:00.000000000,1
746,105 days 06:59:00.000000000,1
747,84 days 06:03:00.000000000,1
748,118 days 10:45:00.000000000,1
749,17 days 21:03:00.000000000,1
750,218 days 09:16:00.000000000,1
751,60 days 02:30:00.000000000,1
752,0 days 16:02:00.000000000,1
753,9 days 03:23:00.000000000,1
754,64 days 16:01:00.000000000,1
755,38 days 01:45:00.000000000,1
756,58 days 11:56:00.000000000,1
757,154 days 05:15:00.000000000,1
758,27 days 23:59:00.000000000,1
759,31 days 11:30:00.000000000,1
760,9 days 09:29:00.000000000,1
761,5 days 14:42:00.000000000,1
762,73 days 08:27:00.000000000,1
763,14 days 23:20:00.000000000,1
764,133 days 09:05:00.000000000,1
765,188 days 20:55:00.000000000,1
766,10 days 01:45:00.000000000,1
767,40 days 06:20:00.000000000,1
768,169 days 07:15:00.000000000,1
769,6 days 09:35:00.000000000,1
770,2 days 07:28:00.000000000,1
771,169 days 03:11:00.000000000,1
