,index,length_of_stay
616,1 days 19:03:00.000000000,271
617,2 days 01:12:00.000000000,271
618,1 days 01:43:00.000000000,271
619,1 days 19:18:00.000000000,271
620,1 days 21:37:00.000000000,271
621,2 days 23:50:00.000000000,271
622,1 days 06:10:00.000000000,270
623,2 days 00:59:00.000000000,270
624,2 days 02:28:00.000000000,270
625,1 days 22:57:00.000000000,270
626,1 days 20:43:00.000000000,270
627,1 days 21:26:00.000000000,270
628,2 days 00:16:00.000000000,270
629,2 days 02:07:00.000000000,270
630,2 days 07:20:00.000000000,270
631,1 days 23:13:00.000000000,270
632,1 days 21:42:00.000000000,270
633,1 days 06:25:00.000000000,269
634,1 days 00:12:00.000000000,269
635,2 days 01:07:00.000000000,269
636,3 days 05:15:00.000000000,269
637,1 days 14:10:00.000000000,269
638,2 days 01:57:00.000000000,269
639,2 days 00:33:00.000000000,269
640,0 days 16:15:00.000000000,269
641,1 days 10:00:00.000000000,269
642,1 days 23:21:00.000000000,269
643,1 days 23:49:00.000000000,269
644,2 days 02:13:00.000000000,269
645,3 days 00:10:00.000000000,269
646,1 days 23:01:00.000000000,269
647,2 days 02:02:00.000000000,269
648,1 days 21:53:00.000000000,269
649,1 days 23:16:00.000000000,269
650,1 days 21:07:00.000000000,269
651,1 days 01:41:00.000000000,269
652,2 days 00:51:00.000000000,269
653,2 days 11:15:00.000000000,269
654,1 days 09:30:00.000000000,268
655,0 days 23:52:00.000000000,268
656,1 days 22:33:00.000000000,268
657,3 days 03:10:00.000000000,268
658,3 days 02:20:00.000000000,268
659,2 days 11:00:00.000000000,268
660,1 days 22:48:00.000000000,268
661,2 days 19:10:00.000000000,268
662,1 days 01:49:00.000000000,268
663,2 days 01:47:00.000000000,268
664,2 days 00:14:00.000000000,268
665,2 days 04:55:00.000000000,268
666,0 days 22:37:00.000000000,268
667,0 days 15:45:00.000000000,268
668,1 days 14:00:00.000000000,268
669,1 days 20:22:00.000000000,268
670,1 days 00:23:00.000000000,268
671,1 days 00:21:00.000000000,268
672,1 days 06:50:00.000000000,267
673,1 days 00:16:00.000000000,267
674,2 days 00:47:00.000000000,267
675,1 days 01:04:00.000000000,267
676,1 days 20:37:00.000000000,267
677,0 days 23:27:00.000000000,267
678,2 days 06:55:00.000000000,267
679,2 days 07:50:00.000000000,267
680,1 days 22:12:00.000000000,267
681,2 days 02:54:00.000000000,267
682,1 days 06:30:00.000000000,267
683,1 days 22:51:00.000000000,267
684,1 days 14:40:00.000000000,266
685,2 days 00:21:00.000000000,266
686,3 days 08:00:00.000000000,266
687,2 days 03:17:00.000000000,266
688,3 days 04:30:00.000000000,266
689,1 days 18:42:00.000000000,266
690,2 days 08:55:00.000000000,266
691,1 days 22:32:00.000000000,266
692,0 days 21:58:00.000000000,266
693,0 days 20:07:00.000000000,266
694,2 days 02:21:00.000000000,266
695,2 days 01:24:00.000000000,266
696,1 days 23:07:00.000000000,266
697,1 days 23:47:00.000000000,266
698,2 days 01:06:00.000000000,266
699,1 days 21:36:00.000000000,265
700,1 days 23:44:00.000000000,265
701,2 days 02:52:00.000000000,265
702,2 days 06:25:00.000000000,265
703,1 days 19:59:00.000000000,265
